	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"AT1G01200"	5.94	5.83	5.87	5.4	5.65	5.85	5.8	5.79	5.74	5.47	5.71	5.93	6.3	6.26	6.35	6.4	6.31	6.22
"AT1G01220"	6.69	6.36	6.51	6.05	6.03	6.2	5.96	5.89	5.99	5.93	5.96	6.07	5.9	5.98	6.05	6.08	6.19	6.27
"AT1G01230"	8.71	8.69	8.57	8.53	8.59	8.57	8.62	8.72	8.6	8.66	8.32	8.23	8.35	8.27	8.28	8.16	8.26	8.31
"AT1G01240"	7.7	7.74	7.65	7.56	7.71	7.57	7.52	7.71	7.78	8.3	8.11	7.98	7.32	7.12	7.17	7.33	7.52	7.61
"AT1G01250"	4.08	3.94	3.92	3.88	3.85	3.73	3.69	3.83	3.64	4	3.84	3.76	3.71	3.77	3.75	3.71	3.76	3.67
"AT1G01290"	5.86	5.99	6.3	6.08	6.48	6.66	6.65	6.65	6.73	6.59	6.69	6.59	6.73	6.95	7.04	7.17	7.21	7.26
"AT1G01300"	8.01	8.04	8.39	8.55	9.12	9.29	9.26	9.4	9.37	8.94	8.96	9.19	9.53	9.6	9.6	9.63	9.57	9.65
"AT1G01320"	4.97	4.81	5.03	5.36	5.18	4.86	4.67	4.42	4.38	4.53	4.61	4.6	4.62	4.54	4.44	4.46	4.56	4.54
"AT1G01340"	7.42	7.54	7.61	7.31	7.24	7.16	7.16	7.21	7.17	7.47	7.2	6.78	6.5	6.3	6.16	5.79	5.8	5.65
"AT1G01360"	8.23	8.12	8.21	7.91	7.92	7.81	7.85	7.76	7.69	7.88	8.07	8.07	7.48	7.35	7.19	7.05	7.59	7.53
"AT1G01370"	3.82	3.93	4.38	4.97	5.09	5.4	5.42	5.41	5.85	6.06	6.04	6.02	6.51	6.84	6.87	7.16	6.96	6.93
"AT1G01380"	3.78	3.69	3.61	3.59	3.64	3.71	3.94	3.62	3.58	3.42	3.44	3.46	3.35	3.43	3.57	3.92	3.84	4.03
"AT1G01420"	4.57	4.66	5.14	5.31	5.55	5.94	6.08	5.94	5.98	5.73	5.82	6.02	5.77	5.71	5.29	4.9	5.09	5
"AT1G01430"	8.6	8.35	8.45	8.18	8.16	8.19	8.19	8.07	8.13	7.93	8.04	8	8.06	8.05	8.08	8.31	8.47	8.45
"AT1G01440"	7.16	7.18	6.51	6.45	6.39	6.18	6.31	6.26	6.22	6.31	6.3	6.19	5.9	5.74	5.72	5.72	5.94	5.87
"AT1G01470"	9.94	9.85	10.08	10.57	10.26	10.31	10.69	11.23	11.33	11.1	10.88	10.88	10.55	10.43	10.47	10.43	10.49	10.31
"AT1G01480"	6.55	7.34	6.1	5.8	5.29	5.69	5.87	6.11	5.93	5.79	5.6	5.18	5.26	5.6	5.44	5.39	5.66	5.45
"AT1G01490"	10.1	10.01	10.31	10.24	10.5	10.72	10.77	10.77	10.72	10.32	10.33	10.24	10.37	10.32	10.31	9.97	10	9.85
"AT1G01500"	7.19	7.21	7.17	7.06	6.94	7.24	7.48	7.68	7.76	7.28	7.3	6.99	6.96	6.9	7.03	7.01	6.99	6.76
"AT1G01510"	7.39	7.45	7.71	7.75	7.97	8.09	8.11	8.28	8.3	8.2	8.18	8.27	8.4	8.5	8.37	8.63	8.67	8.7
"AT1G01540"	7.43	7.29	7.43	7.47	7.55	7.61	7.6	7.51	7.63	7.64	7.63	7.82	7.81	7.71	7.68	7.73	7.68	7.68
"AT1G01550"	10.42	10.41	10.37	10.54	10.46	10.43	10.59	10.47	10.5	10.52	10.4	10.39	10.31	10.2	10.21	9.97	9.88	9.79
"AT1G01560"	3.61	3.52	3.5	3.5	3.47	3.68	3.51	3.52	3.43	3.82	3.84	3.72	3.89	3.75	3.82	3.57	3.35	3.43
"AT1G01570"	6.56	6.57	7.11	6.92	6.95	6.55	6.16	5.12	5.38	5.91	5.96	5.9	5.14	4.73	4.56	4.61	4.69	4.85
"AT1G01600"	3.83	3.88	4.82	6.11	7.33	7.48	7.31	6.51	6.01	6.04	6.4	6.75	6.53	6.41	6.48	6.82	6.93	7.37
"AT1G01610"	6.75	6.93	9.14	10.11	11.19	11.05	10.69	10.34	10.04	9.75	9.89	9.94	9.78	9.37	8.91	8.58	8.54	8.59
"AT1G01620"	11.93	11.8	11.6	11.25	10.7	10.46	10.22	10.22	10.42	10.96	10.84	10.57	10.38	10.31	10.25	10.64	10.73	10.86
"AT1G01630"	9.13	8.99	9.24	9.14	9.1	9.05	9.14	9.1	8.9	8.74	8.47	8.71	8.76	8.81	8.75	8.65	8.6	8.69
"AT1G01640"	6.67	6.53	6.91	7.14	7.82	7.99	8	8.12	8.3	8.6	8.4	8.1	7.84	7.72	7.78	7.68	7.69	7.69
"AT1G01650"	8.48	8.41	8.44	8.12	8.03	7.71	7.74	7.69	7.73	7.45	7.63	7.49	7.46	7.32	7.25	7.22	7.29	7.32
"AT1G01660"	6.09	5.85	4.65	3.58	3.44	3.4	3.63	3.45	3.45	3.62	3.38	3.31	3.43	3.44	3.42	3.56	3.48	3.44
"AT1G01670"	4.87	4.81	4.61	4.34	4.54	4.32	4.51	4.48	4.45	4.55	4.3	4.43	4.23	4.21	4.25	4.18	4.24	4.14
"AT1G01700"	2.92	3.01	2.99	2.92	2.86	2.89	2.82	2.93	3.05	3.26	3.47	3.39	3.42	3.45	3.38	3.34	3.46	3.5
"AT1G01710"	8.07	7.91	7.95	7.93	7.84	7.8	7.87	7.75	7.74	7.65	7.59	7.48	7.37	7.36	7.54	7.34	7.25	7.21
"AT1G01720"	9.89	9.8	9.67	9.57	9.15	8.95	8.86	8.85	8.72	8.83	8.9	9.13	8.9	8.73	8.67	8.58	8.66	8.55
"AT1G01730"	6.58	6.7	7	6.94	7.32	7.45	7.46	7.57	7.55	8.03	7.76	7.68	7.68	7.68	7.67	7.59	7.71	7.68
"AT1G01740"	4.72	4.63	4.83	4.87	5.14	5.36	5.33	5.38	5.39	5.39	5.3	5.19	5.24	5.37	5.28	5.35	5.61	5.42
"AT1G01750"	8.96	9.15	7.02	4.3	3.26	3	3.01	3.06	3.17	3.06	3.07	3.07	3.17	3.17	3.05	3.19	3.26	3.13
"AT1G01770"	6.77	6.36	6.83	6.65	6.46	6.04	5.9	5.95	5.99	6.33	6.28	5.73	5.4	5.1	5.31	5.42	5.32	5.58
"AT1G01780"	8.28	8.32	7.09	6.21	6.42	6.46	6.61	6.77	6.78	6.72	6.75	6.71	6.52	6.41	6.31	5.95	5.96	5.79
"AT1G01790"	6.86	6.96	6.9	6.78	6.68	6.6	6.52	6.38	6.31	6.16	6.14	6.31	6.27	6.17	6.04	6.13	6.16	6.16
"AT1G01800"	9.81	9.67	9.79	9.85	9.86	9.64	9.59	9.43	9.34	9.35	9.38	9.34	9.2	9.1	8.99	8.99	9.11	9.09
"AT1G01820"	8.05	7.98	8.13	8.05	8.06	7.86	7.99	8.22	8.26	8.41	8.29	8.09	7.96	7.77	7.76	8.02	8.16	8.23
"AT1G01840"	4.96	5.01	4.84	5.06	4.78	4.9	4.94	4.99	4.91	5.2	5.12	5.17	5.32	5.37	5.4	5.52	5.52	5.36
"AT1G01860"	5.12	5.14	5.07	4.87	5.24	5.21	5.19	5.09	5.28	5.09	5.14	5.19	5.25	5.25	5.33	5.24	5.31	5.35
"AT1G01900"	5.64	5.54	5.04	4.86	4.68	4.19	4.05	4.25	4.2	4.14	4.19	5.44	6.04	5.27	5.05	4.04	3.93	3.84
"AT1G01910"	8.36	8.34	8.35	8.26	8.14	8.13	8.2	8.22	8.36	8.22	8.42	8.42	8.43	8.6	8.72	8.96	8.9	8.96
"AT1G01920"	4.95	5.1	5.33	5.43	5.56	5.67	5.61	5.42	5.76	5.88	5.82	5.73	5.92	5.97	6.13	6.25	6.25	6.31
"AT1G01940"	6.52	7.16	7.86	7.95	8.12	8.1	8.14	8.25	8.45	8.57	8.47	8.6	8.72	9.03	9.04	9.12	9.12	9.08
"AT1G01960"	7.71	7.65	8.01	8.04	8.24	8.34	8.33	8.31	8.43	8.21	8.28	8.15	8.3	8.3	8.34	8.49	8.47	8.52
"AT1G01970"	5.87	5.89	6.04	6.15	6.33	6.7	6.85	6.57	6.32	6.04	6.22	6.44	6.4	6.32	6.12	5.86	6.08	6.01
"AT1G01990"	6.19	6.26	6.14	6.09	6.23	6.29	6.41	6.69	6.75	6.81	6.83	6.84	6.61	6.7	6.71	6.89	6.81	6.8
"AT1G02000"	7.31	7.13	7.12	6.64	6.41	6.33	6.08	6.06	5.92	5.91	5.84	5.92	5.82	5.98	5.72	5.6	5.68	5.79
"AT1G02050"	4.15	4.26	4.31	4.5	4.48	4.57	4.6	4.6	4.71	4.73	4.89	4.78	4.81	4.94	4.86	5.14	5.2	5.28
"AT1G02060"	3.15	3.23	3.17	3.23	3.16	3.29	3.35	3.3	3.49	3.38	3.31	3.38	3.31	3.27	3.42	3.43	3.38	3.45
"AT1G02090"	7.31	7.33	7.47	7.32	7.58	7.5	7.68	7.61	7.74	7.67	7.62	7.8	7.93	8.09	8.14	8.1	8.18	8.15
"AT1G02100"	8.1	8.1	7.96	7.91	8.07	8.04	8.1	7.98	8.14	8.25	8.27	8.21	8.09	8.13	8.05	8.1	8.12	8.22
"AT1G02110"	4.79	5.01	4.92	5.19	5.63	5.73	5.48	5.81	5.85	5.93	6.02	5.91	6.29	6.42	6.58	6.68	6.78	6.82
"AT1G02120"	8.03	8.07	7.93	7.85	7.94	7.92	7.94	7.91	8.01	8	8.11	7.92	7.65	7.53	7.5	7.35	7.62	7.5
"AT1G02130"	8.04	8.01	8.23	8.21	8.37	8.45	8.42	8.51	8.38	8.52	8.47	8.56	8.54	8.68	8.7	8.63	8.73	8.84
"AT1G02140"	9.77	9.91	10.07	10.07	10.28	10.38	10.48	10.44	10.51	10.37	10.44	10.47	10.63	10.74	10.71	10.8	10.85	10.85
"AT1G02150"	6.58	6.81	6.86	7.05	7.15	7.24	7.07	7.3	7.5	7.54	7.61	7.53	7.53	7.59	7.68	7.83	7.67	7.75
"AT1G02160"	7.55	7.57	7.7	7.63	7.92	7.85	7.94	8.03	8.13	8.18	8.19	8.27	8.12	8.21	8.22	8.67	8.72	8.68
"AT1G02170"	8.77	8.74	8.7	8.63	8.84	8.71	8.59	8.47	8.35	8.45	8.27	8.27	8.17	7.97	7.88	7.73	7.76	7.69
"AT1G02180"	4.86	4.77	5.03	5.14	5.15	5.1	5.14	5.14	5.28	5.28	5.33	5.41	5.4	5.84	5.59	5.92	5.96	5.87
"AT1G02220"	7.39	7.18	7.32	7.08	7.62	7.68	7.6	7.13	7.08	7.32	7.64	7.29	7.14	6.92	6.58	6.13	6.43	6.33
"AT1G02260"	7.45	7.43	7.52	7.29	7.25	7.2	7.24	7.22	7.12	7.21	7.28	6.98	6.76	6.57	6.51	6.44	6.62	6.56
"AT1G02270"	7.91	7.72	7.68	7.73	7.53	7.58	7.78	7.87	7.85	7.71	7.69	7.54	7.48	7.4	7.59	7.41	7.33	7.14
"AT1G02280"	7.5	7.33	7.77	7.9	7.73	7.63	7.37	7.44	7.39	7.5	7.58	7.5	7.35	7.39	7.57	7.76	7.76	7.73
"AT1G02300"	4.79	4.82	5.13	5.17	5.05	4.8	4.56	4.87	5.06	5.35	5.62	5.34	4.91	4.46	4.47	4.64	4.82	5.04
"AT1G02310"	5.65	5.25	5.68	6.54	5.92	6	6.04	5.82	5.47	5.75	5.95	6.4	6.23	6.01	6.08	5.45	5.82	5.59
"AT1G02330"	7.04	7.16	7.28	6.98	7.36	7.35	7.39	7.49	7.53	7.56	7.65	7.65	7.71	8.01	8.05	7.97	7.97	8.1
"AT1G02340"	7.16	6.83	7.15	6.93	6.76	6.22	6.01	5.83	5.69	6.42	6.73	6.63	5.72	5.02	4.76	4.93	5.46	5.65
"AT1G02360"	11.47	11.22	11.04	11.12	11.04	10.6	10.38	9.75	9.65	9.85	9.91	9.8	9.49	9.14	8.82	7.83	8.05	7.91
"AT1G02370"	4.15	4.73	4.93	4.97	5.3	5.51	5.5	5.8	6.01	5.79	6.01	5.99	6.33	6.65	6.53	6.65	6.71	6.76
"AT1G02390"	3.63	3.61	3.64	3.65	3.49	3.64	3.68	3.97	4.05	4.26	4.27	4.54	4.58	4.77	4.86	5.18	5.07	5.12
"AT1G02400"	8.68	8.85	8.6	9.05	8.78	8.56	8.64	8.28	8.03	8.24	7.94	8.17	8.05	8.05	7.78	7.24	7.15	6.74
"AT1G02460"	6.99	7.04	5.43	5.01	4.67	4.72	4.74	4.94	4.98	4.82	4.76	4.51	4.25	4.17	4.02	4.07	4.12	4.05
"AT1G02470"	4.02	4.02	3.97	4.2	4.36	4.33	4.19	4.05	3.99	4.28	4.31	4.22	4.1	4.21	4.09	4.03	3.97	3.89
"AT1G02490"	3.08	3.12	3.27	3.33	3.3	3.34	3.34	3.36	3.3	3.36	3.38	3.08	3.33	3.43	3.47	3.49	3.62	3.32
"AT1G02500"	12.83	12.83	12.45	12.18	12.53	12.72	12.71	12.59	12.62	12.45	12.46	12.37	12.11	11.89	11.75	11.63	11.79	11.78
"AT1G02560"	8.35	8.36	8.63	8.65	8.7	8.75	8.81	8.79	8.95	8.99	8.9	9	9.1	9.35	9.27	9.36	9.42	9.39
"AT1G02570"	5.29	5.51	4.48	3.89	3.8	3.65	3.74	3.68	3.88	3.91	3.77	3.72	3.79	4	3.9	3.84	3.91	3.9
"AT1G02580"	4.65	4.41	4.15	3.99	4	3.81	3.72	3.67	3.66	3.89	3.76	3.71	3.71	3.61	3.56	3.71	3.73	3.62
"AT1G02640"	7.88	7.73	8.04	8.4	7.54	6.88	6.45	7.28	8.13	9.51	9.25	8.75	7.95	7.71	7.93	8.72	8.9	9.17
"AT1G02660"	6.02	6.22	5.72	6.6	6.18	6.26	6.28	6.48	6.55	6.79	6.67	6.54	5.74	5.65	5.34	5.21	5.16	5.09
"AT1G02690"	5.84	6.52	7.63	7.66	7.7	7.71	7.65	7.82	7.92	7.97	8.04	8.09	8.41	8.68	8.84	8.92	8.8	8.83
"AT1G02700"	4.3	4.09	3.67	3.81	3.87	3.73	3.67	3.73	3.6	3.54	3.35	3.52	3.5	3.54	3.45	3.39	3.23	3.31
"AT1G02710"	4.66	4.64	4.67	4.65	4.67	4.53	4.38	4.37	4.09	4.47	4.41	4.35	4.22	4.39	4.26	4.35	4.32	4.31
"AT1G02720"	6.68	6.29	6.2	6.08	6.05	5.97	5.87	5.8	5.79	5.49	5.9	5.91	6.07	6.16	5.92	5.82	5.94	5.85
"AT1G02730"	3.6	4.44	6.25	7.25	7.66	7.72	7.59	7.57	7.75	7.7	7.81	7.74	8.07	8.12	8.19	8.48	8.29	8.31
"AT1G02740"	5.9	6.14	6.15	6.11	6.17	6.24	6.33	6.24	6.19	6.25	6.34	6.18	6.12	6.21	6.01	6.06	5.81	5.99
"AT1G02750"	8.02	8.1	7.55	7.43	7.14	7.08	7.08	6.97	6.98	7.21	7.02	7.09	6.72	6.77	6.69	6.52	6.59	6.47
"AT1G02780"	10.55	10.92	11.3	11.41	11.8	11.94	12.06	12.22	12.31	12.31	12.4	12.49	12.64	12.73	12.82	12.85	12.83	12.88
"AT1G02800"	4.44	4.25	4.24	4.26	4.2	4.27	4.12	4.36	4.43	4.82	4.67	4.56	4.88	4.95	4.74	4.54	4.59	4.43
"AT1G02810"	8.18	8.11	8.21	8.78	8.9	9.28	9.32	9.19	9.09	8.71	8.73	8.89	9.04	9.1	9.21	8.85	8.76	8.64
"AT1G02820"	3.7	3.88	3.83	3.61	3.69	3.72	3.72	3.99	3.7	3.84	3.7	3.86	3.76	3.95	4.16	3.9	3.81	3.79
"AT1G02840"	8.59	8.71	8.85	8.95	9.15	8.93	8.97	9.1	9.19	9.48	9.5	9.5	9.61	9.63	9.75	9.91	9.93	10.02
"AT1G02850"	9.18	9.01	9.28	9.3	9.34	9.1	9.05	9.18	8.74	8.47	8.29	8.16	8.54	8.38	8.32	8.08	7.91	7.58
"AT1G02860"	6.83	7.06	6.84	7.02	7.3	7.7	7.78	7.83	7.98	7.89	7.56	7.46	7.32	7.33	7.4	7.37	7.39	7.23
"AT1G02870"	6.31	7.28	7.57	7.58	7.95	8.04	8.18	8.46	8.7	8.65	8.83	8.85	9.34	9.61	9.77	9.79	9.89	9.78
"AT1G02890"	8.18	8.36	8.24	8.08	8.38	8.47	8.44	8.35	8.46	8.19	8.12	7.87	7.76	7.71	7.69	7.48	7.5	7.43
"AT1G02900"	12.18	12.37	12.54	12.39	12.24	11.97	11.73	11.47	11.34	11.28	11.2	11.22	10.85	10.63	10.48	10.17	10.32	10.23
"AT1G02910"	6.22	6.28	6.21	6.08	6.27	6.24	6.1	5.96	6.01	6.14	5.87	5.84	5.59	5.55	5.44	5.4	5.61	5.54
"AT1G02950"	6.57	6.23	6.93	8.06	7.82	6.1	5.64	4.69	4.17	4.08	4.25	4.14	4.93	5.49	5.62	5.56	5.49	5.86
"AT1G02960"	6.09	5.98	6.07	6.12	6.32	6.38	6.4	6.34	6.45	6.52	6.47	6.37	6.11	6.21	6.15	6.32	6.38	6.37
"AT1G02970"	4.08	4.26	4.91	5.3	5.37	5.54	5.4	5.38	5.4	5.07	5.22	5.17	5.49	5.76	5.65	5.77	5.62	5.84
"AT1G02980"	3.33	3.35	3.51	3.3	3.41	3.21	3.25	3.16	3.2	3.32	3.18	3.31	3.3	3.49	3.47	3.32	3.39	3.28
"AT1G03010"	3.63	3.47	3.46	3.65	4.19	4.12	3.94	3.69	3.85	3.55	3.6	3.47	3.21	3.07	2.98	3.05	3.1	3.2
"AT1G03030"	6.53	6.4	6.57	6.79	6.77	6.81	6.82	7	6.91	6.71	6.73	6.61	6.67	6.67	6.74	6.73	6.75	6.71
"AT1G03040"	8.39	8.35	7.9	7.75	7.97	8.16	8.2	8.29	8.25	7.78	7.9	7.92	8.09	8.13	8.07	7.74	7.78	7.44
"AT1G03060"	7.42	7.33	7.18	7.05	7.26	7.21	7.23	7.15	7.24	7.02	7.14	7	6.87	6.9	6.86	6.8	6.78	6.79
"AT1G03070"	5.97	5.79	5.67	5.55	5.51	5.53	5.34	4.83	4.84	4.73	4.57	4.91	4.77	4.81	4.79	4.74	4.97	4.93
"AT1G03080"	7.48	7.49	7.52	7.31	7.46	7.31	7.39	7.27	7.1	6.61	6.87	6.76	6.6	6.54	6.32	6.06	6.15	6.16
"AT1G03090"	10.09	10.24	9.99	9.88	8.88	8.1	7.84	8.04	8.62	9.98	9.57	8.66	7.49	7	7.08	7.63	7.95	8.18
"AT1G03100"	3.65	3.94	4.09	4.19	4.31	4.28	4.32	4.32	4.45	4.43	4.55	4.55	4.72	4.92	4.95	5.01	5.05	5.05
"AT1G03110"	5.58	6.4	6.74	6.67	6.76	6.89	6.94	7.17	7.36	7.44	7.65	7.74	8.13	8.44	8.6	8.68	8.64	8.56
"AT1G03130"	4.92	4.99	4.81	4.75	4.53	4.24	4.23	4.1	4.13	4.6	4.48	4.46	4.13	4.39	4.11	3.98	3.89	4.02
"AT1G03150"	7.4	7.45	7.48	7.42	7.57	7.55	7.67	7.73	7.75	7.86	7.77	7.81	8.09	8.39	8.41	8.45	8.43	8.45
"AT1G03160"	4.77	4.86	4.73	4.72	4.82	4.64	4.61	4.64	4.56	4.39	4.52	4.41	4.23	4.35	4.29	4.25	4.35	4.37
"AT1G03180"	5.03	5	5.24	5.35	5.85	6.12	6.29	6.21	6.04	5.95	6.11	6.28	6.54	6.68	6.73	6.61	6.57	6.77
"AT1G03190"	5.9	5.89	6.08	5.95	6.08	6.09	6.08	6.03	5.95	5.71	6.11	6.09	6.19	6.2	6.26	6.23	6.44	6.53
"AT1G03210"	9.09	8.9	9.27	9.34	9.18	9.14	9.07	8.98	8.91	8.95	8.72	8.55	8.5	8.69	8.57	8.68	8.8	8.89
"AT1G03270"	3.81	3.91	4.05	4.04	4.55	4.79	4.85	4.74	4.58	4.39	4.51	4.62	4.63	4.85	4.97	4.86	4.75	4.91
"AT1G03290"	7.44	7.34	7.27	7.17	7.07	7.03	7.07	7.02	6.9	7	6.83	6.78	6.4	6.4	6.23	6.17	6.21	6.06
"AT1G03300"	3.32	3.47	3.53	3.43	3.47	3.56	3.43	3.58	3.49	3.66	3.51	3.55	3.76	3.88	3.93	4	3.87	4
"AT1G03310"	4.81	4.7	4.9	4.92	5.16	5.43	5.43	5.44	5.32	4.9	4.96	5.13	5.15	5.19	5.1	5.09	5.08	5.22
"AT1G03330"	9.5	9.69	9.87	9.74	9.78	9.8	9.81	9.88	9.84	9.97	10.1	10.09	10.17	10.42	10.4	10.5	10.48	10.58
"AT1G03350"	8.45	8.27	8.19	8.18	8.28	8.2	8.13	8.07	8.12	8.09	8.15	8.17	8.1	8.01	7.99	8.13	8.09	8.06
"AT1G03360"	3.77	5.64	6.09	6.04	6.37	6.4	6.58	6.85	6.98	6.95	7.06	7.19	7.74	8.19	8.08	8.26	8.09	8.16
"AT1G03370"	7.45	7.48	7.17	6.99	7.01	6.93	6.95	6.9	6.73	6.81	6.79	6.72	6.44	6.39	6.3	6.17	6.24	6.23
"AT1G03380"	7.29	7.08	7.15	7	7.05	7	6.98	6.8	6.83	6.83	6.74	6.47	6.13	5.76	5.6	5.52	5.58	5.53
"AT1G03410"	3.92	3.89	3.9	3.93	4	3.83	4.06	3.78	3.83	3.76	3.77	3.62	3.62	3.6	3.73	3.47	3.54	3.53
"AT1G03420"	7.68	7.55	7.84	7.75	7.72	7.69	7.5	7.8	7.86	7.82	8.07	7.95	8.16	8.32	8.32	8.71	8.75	8.98
"AT1G03430"	7.66	7.77	8.01	7.87	7.74	7.74	7.64	7.68	7.87	7.9	7.8	7.68	7.67	7.54	7.74	7.71	7.87	7.9
"AT1G03440"	5.69	5.64	5.87	5.71	5.35	5.09	4.91	4.95	4.87	5.42	5.1	4.99	5.15	5.27	5.24	5.31	5.32	5.28
"AT1G03470"	4.92	5.04	5.58	5.97	5.87	5.88	5.85	5.86	6.05	6.05	5.91	5.76	5.73	5.78	5.84	5.86	5.94	5.86
"AT1G03510"	3.85	3.86	3.96	4.15	3.9	4.06	3.91	4.03	4.11	4.23	4.14	4.1	4.1	4.37	4.38	4.27	4.37	4.24
"AT1G03520"	6.76	6.8	6.6	6.31	6.24	6.04	6.05	6.1	6.02	6.18	5.96	5.73	5.75	5.65	5.5	5.57	5.61	5.62
"AT1G03530"	4.6	6.1	6.21	6.1	6.32	6.3	6.32	6.54	6.65	6.69	6.57	6.77	7.31	7.64	7.7	7.59	7.59	7.5
"AT1G03550"	7.09	7.25	6.71	6.52	6.65	6.42	6.44	6.48	6.32	6.08	6.19	6.13	5.93	5.67	5.64	5.56	5.56	5.5
"AT1G03560"	4.9	5.07	4.89	4.82	4.89	5.06	5.23	5.22	5.28	5.02	5.2	5.2	5.14	5.43	5.29	5.36	5.25	5.41
"AT1G03590"	7.39	7.44	7.19	7.19	7.01	6.86	6.78	6.68	6.84	7.06	7.26	7.26	7.07	7.15	7.3	7.44	7.56	7.69
"AT1G03600"	7.35	7.24	7.23	7.25	7.3	6.75	6.37	5.89	5.75	6.26	6.28	6.2	5.97	5.92	5.68	5.88	6.04	6.2
"AT1G03610"	7.5	7.7	7.47	7.42	7.1	7.13	7.03	7.44	7.77	8.26	8.03	7.76	7.23	6.81	6.89	7.21	7.61	7.78
"AT1G03620"	3.9	3.95	3.76	3.84	3.99	4.06	4.18	4.14	4.37	4.93	4.62	4.79	4.44	4.22	4.2	4.5	4.53	4.69
"AT1G03630"	3.97	4.02	4.04	4.15	4.15	3.81	3.65	3.52	3.55	3.58	3.65	3.88	3.8	3.74	3.64	3.59	3.55	3.63
"AT1G03660"	8.59	8.48	8.01	7.57	6.62	6.18	6.36	6.68	6.59	7.35	6.67	6.47	5.99	6	5.82	5.73	5.67	5.58
"AT1G03680"	7.73	7.62	7.65	7.62	7.41	7.37	7.35	7.33	7.47	7.6	7.65	7.64	7.57	7.49	7.53	7.61	7.51	7.56
"AT1G03700"	4.28	4.97	6.83	8.61	9.64	9.49	8.87	7.98	7.57	8.3	8.55	8.58	7.44	6.05	5.63	4.64	4.58	4.83
"AT1G03730"	8.46	8.51	8.43	8.77	8.48	8.55	8.65	8.6	8.54	8.54	8.42	8.38	8.38	8.31	8.23	8.05	8.06	7.99
"AT1G03740"	7.06	6.95	6.65	6.84	6.84	7.02	7.02	6.92	7.03	6.74	6.45	6.07	5.69	5.65	5.76	5.58	5.6	5.34
"AT1G03750"	5.28	5.29	5.27	5.1	5.2	5.27	4.97	5.18	5.11	5.12	5.07	4.96	4.78	4.76	4.61	4.71	4.86	4.76
"AT1G03760"	5.92	6.1	6.35	6.4	6.55	6.62	6.62	6.8	6.9	6.61	6.87	6.74	6.87	7.11	7.26	7.18	7.23	7.18
"AT1G03770"	4.52	4.63	4.52	4.36	4.46	4.59	4.85	4.71	4.86	4.68	4.95	4.91	4.92	5.04	5.18	5.29	5.49	5.52
"AT1G03780"	3.44	4.01	5.76	6.19	6.3	6.4	6.24	6.33	6.42	6.52	6.43	6.46	6.7	6.96	7.23	7.37	7.33	7.24
